"annotation_id","annotator","created_at","id","image","lead_time","text","transcription","updated_at"
439,"1","2026-03-24T15:48:43.063658Z",439,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg.jpg",6.921,"54058","54058","2026-03-24T15:48:43.063674Z"
440,"1","2026-03-24T15:48:47.784952Z",440,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg2.jpg",4.537,"53041","53041","2026-03-24T15:48:47.784965Z"
441,"1","2026-03-24T15:48:56.806573Z",441,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg3.jpg",8.838,"54074","54074","2026-03-24T15:48:56.806586Z"
442,"1","2026-03-24T15:48:57.886396Z",442,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg4.jpg",0.902,"54013","54013","2026-03-24T15:48:57.886411Z"
443,"1","2026-03-24T15:48:58.817342Z",443,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg5.jpg",0.751,"54069","54069","2026-03-24T15:48:58.817359Z"
444,"1","2026-03-24T15:49:00.013632Z",444,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg6.jpg",1.027,"54073","54073","2026-03-24T15:49:00.013644Z"
445,"1","2026-03-24T15:49:01.500245Z",445,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg7.jpg",1.299,"54069","54069","2026-03-24T15:49:01.500260Z"
446,"1","2026-03-24T15:49:03.350269Z",446,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg8.jpg",1.673,"53040","53040","2026-03-24T15:49:03.350282Z"
447,"1","2026-03-24T15:49:04.552757Z",447,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg9.jpg",1.03,"54074","54074","2026-03-24T15:49:04.552773Z"
448,"1","2026-03-24T15:49:05.974407Z",448,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg10.jpg",1.242,"54024","54024","2026-03-24T15:49:05.974421Z"
449,"1","2026-03-24T15:49:07.063381Z",449,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg11.jpg",0.917,"54029","54029","2026-03-24T15:49:07.063394Z"
450,"1","2026-03-24T15:49:08.990100Z",450,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg12.jpg",1.752,"53025","53025","2026-03-24T15:49:08.990113Z"
451,"1","2026-03-24T15:49:10.053454Z",451,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg13.jpg",0.877,"54058","54058","2026-03-24T15:49:10.053472Z"
452,"1","2026-03-24T15:49:11.283957Z",452,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg14.jpg",1.059,"54013","54013","2026-03-24T15:49:11.283971Z"
453,"1","2026-03-24T15:49:12.478047Z",453,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg15.jpg",1.017,"53040","53040","2026-03-24T15:49:12.478060Z"
454,"1","2026-03-24T15:49:14.130317Z",454,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg16.jpg",1.48,"54024","54024","2026-03-24T15:49:14.130332Z"
455,"1","2026-03-24T15:49:15.453935Z",455,"/data/local-files/?d=train/rawCropTrain/IMG_0773_jpeg_jpeg17.jpg",1.159,"53040","53040","2026-03-24T15:49:15.453948Z"
